timestamp,open,high,low,close,volume,datetime,symbol
1770336000000,1826.83,1892.65,1747.8,1870.61,251543.0577,2026-02-06 00:00:00+00:00,ETH/USDT
1770339600000,1870.63,1940.16,1870.37,1932.17,113407.9511,2026-02-06 01:00:00+00:00,ETH/USDT
1770343200000,1932.17,1947.84,1891.46,1907.49,48456.3513,2026-02-06 02:00:00+00:00,ETH/USDT
1770346800000,1907.5,1917.88,1879.24,1891.82,54548.0956,2026-02-06 03:00:00+00:00,ETH/USDT
1770350400000,1891.81,1917.8,1885.95,1909.03,34232.0514,2026-02-06 04:00:00+00:00,ETH/USDT
1770354000000,1909.02,1975.75,1906.6,1958.69,53356.4351,2026-02-06 05:00:00+00:00,ETH/USDT
1770357600000,1958.69,1967.27,1906.89,1908.32,77948.1055,2026-02-06 06:00:00+00:00,ETH/USDT
1770361200000,1908.32,1915.15,1887.29,1899.42,102231.864,2026-02-06 07:00:00+00:00,ETH/USDT
1770364800000,1899.41,1907.01,1866.13,1874.46,115044.0677,2026-02-06 08:00:00+00:00,ETH/USDT
1770368400000,1874.46,1929.18,1871.1,1919.0,99856.6883,2026-02-06 09:00:00+00:00,ETH/USDT
1770372000000,1919.08,1934.98,1909.69,1926.94,102748.7425,2026-02-06 10:00:00+00:00,ETH/USDT
1770375600000,1926.93,1939.35,1919.96,1932.68,54954.1328,2026-02-06 11:00:00+00:00,ETH/USDT
1770379200000,1932.67,1932.67,1914.88,1920.91,41598.4067,2026-02-06 12:00:00+00:00,ETH/USDT
1770382800000,1920.91,1962.39,1919.29,1950.31,75652.1242,2026-02-06 13:00:00+00:00,ETH/USDT
1770386400000,1950.31,2002.18,1933.33,1978.88,143645.8925,2026-02-06 14:00:00+00:00,ETH/USDT
1770390000000,1978.89,1997.68,1961.24,1980.81,86980.506,2026-02-06 15:00:00+00:00,ETH/USDT
1770393600000,1980.8,2046.6,1970.17,2036.17,123293.1654,2026-02-06 16:00:00+00:00,ETH/USDT
1770397200000,2036.17,2090.13,2027.73,2067.01,130842.5306,2026-02-06 17:00:00+00:00,ETH/USDT
1770400800000,2067.01,2070.19,2030.59,2044.61,90216.463,2026-02-06 18:00:00+00:00,ETH/USDT
1770404400000,2044.61,2072.0,2033.37,2065.63,63890.1338,2026-02-06 19:00:00+00:00,ETH/USDT
1770408000000,2065.63,2093.94,2043.68,2054.23,62701.257,2026-02-06 20:00:00+00:00,ETH/USDT
1770411600000,2054.23,2061.99,2039.93,2053.97,45338.5426,2026-02-06 21:00:00+00:00,ETH/USDT
1770415200000,2053.98,2085.47,2046.08,2075.1,74012.4867,2026-02-06 22:00:00+00:00,ETH/USDT
1770418800000,2075.09,2087.98,2049.28,2063.38,55812.5058,2026-02-06 23:00:00+00:00,ETH/USDT
1770422400000,2063.37,2064.56,2036.75,2043.5,50106.171,2026-02-07 00:00:00+00:00,ETH/USDT
1770426000000,2043.49,2066.64,2032.6,2061.94,26816.0129,2026-02-07 01:00:00+00:00,ETH/USDT
1770429600000,2061.94,2065.35,2048.78,2059.39,17033.065,2026-02-07 02:00:00+00:00,ETH/USDT
1770433200000,2059.39,2086.0,2057.58,2080.81,29817.873,2026-02-07 03:00:00+00:00,ETH/USDT
1770436800000,2080.8,2119.46,2078.81,2087.4,56525.0803,2026-02-07 04:00:00+00:00,ETH/USDT
1770440400000,2087.39,2103.99,2077.79,2083.79,21183.2482,2026-02-07 05:00:00+00:00,ETH/USDT
1770444000000,2083.78,2093.52,2047.2,2047.73,24691.0955,2026-02-07 06:00:00+00:00,ETH/USDT
1770447600000,2047.73,2055.7,1994.57,2027.1,78423.3222,2026-02-07 07:00:00+00:00,ETH/USDT
1770451200000,2027.1,2032.6,2015.33,2019.02,30728.1943,2026-02-07 08:00:00+00:00,ETH/USDT
1770454800000,2019.02,2029.84,2005.26,2014.45,21264.5431,2026-02-07 09:00:00+00:00,ETH/USDT
1770458400000,2014.45,2019.56,1999.57,2010.68,21711.2423,2026-02-07 10:00:00+00:00,ETH/USDT
1770462000000,2010.67,2021.79,2007.05,2018.77,16467.1097,2026-02-07 11:00:00+00:00,ETH/USDT
1770465600000,2018.77,2075.21,2017.02,2041.33,65816.0049,2026-02-07 12:00:00+00:00,ETH/USDT
1770469200000,2041.33,2050.43,2028.37,2041.49,50018.0773,2026-02-07 13:00:00+00:00,ETH/USDT
1770472800000,2041.48,2049.53,2009.82,2020.41,24158.7138,2026-02-07 14:00:00+00:00,ETH/USDT
1770476400000,2020.41,2063.46,2014.38,2052.54,31750.9613,2026-02-07 15:00:00+00:00,ETH/USDT
1770480000000,2052.55,2121.7,2009.54,2050.3,389715.086,2026-02-07 16:00:00+00:00,ETH/USDT
1770483600000,2050.3,2073.13,2032.96,2061.16,35198.2182,2026-02-07 17:00:00+00:00,ETH/USDT
1770487200000,2061.16,2109.66,2059.0,2097.1,57697.364,2026-02-07 18:00:00+00:00,ETH/USDT
1770490800000,2097.1,2101.35,2083.74,2091.29,17769.7642,2026-02-07 19:00:00+00:00,ETH/USDT
1770494400000,2091.29,2115.0,2084.6,2105.32,22849.0201,2026-02-07 20:00:00+00:00,ETH/USDT
1770498000000,2105.33,2110.35,2094.46,2100.42,23918.7621,2026-02-07 21:00:00+00:00,ETH/USDT
1770501600000,2100.43,2107.56,2087.62,2088.58,12581.7365,2026-02-07 22:00:00+00:00,ETH/USDT
1770505200000,2088.58,2095.63,2073.0,2087.08,16375.7828,2026-02-07 23:00:00+00:00,ETH/USDT
1770508800000,2087.08,2094.6,2076.86,2084.58,14208.6,2026-02-08 00:00:00+00:00,ETH/USDT
1770512400000,2084.58,2097.76,2082.23,2096.35,12761.0853,2026-02-08 01:00:00+00:00,ETH/USDT
1770516000000,2096.36,2107.44,2082.48,2088.84,13998.5251,2026-02-08 02:00:00+00:00,ETH/USDT
1770519600000,2088.9,2093.29,2077.0,2078.77,14878.0281,2026-02-08 03:00:00+00:00,ETH/USDT
1770523200000,2078.78,2090.01,2064.91,2087.72,31811.9607,2026-02-08 04:00:00+00:00,ETH/USDT
1770526800000,2087.72,2088.41,2078.76,2084.77,11329.9885,2026-02-08 05:00:00+00:00,ETH/USDT
1770530400000,2084.76,2089.1,2077.19,2079.3,8700.9354,2026-02-08 06:00:00+00:00,ETH/USDT
1770534000000,2079.3,2084.42,2064.1,2084.41,30059.004,2026-02-08 07:00:00+00:00,ETH/USDT
1770537600000,2084.41,2124.55,2078.04,2116.03,31335.0345,2026-02-08 08:00:00+00:00,ETH/USDT
1770541200000,2116.04,2123.0,2095.53,2100.55,17224.4959,2026-02-08 09:00:00+00:00,ETH/USDT
1770544800000,2100.54,2114.17,2083.41,2096.08,17098.5035,2026-02-08 10:00:00+00:00,ETH/USDT
1770548400000,2096.08,2137.57,2094.45,2132.35,27090.5667,2026-02-08 11:00:00+00:00,ETH/USDT
1770552000000,2132.36,2145.26,2125.42,2131.43,25674.1248,2026-02-08 12:00:00+00:00,ETH/USDT
1770555600000,2131.44,2141.0,2118.39,2126.59,28849.4265,2026-02-08 13:00:00+00:00,ETH/USDT
1770559200000,2126.59,2129.49,2116.32,2128.62,13093.6203,2026-02-08 14:00:00+00:00,ETH/USDT
1770562800000,2128.61,2130.78,2097.57,2108.64,24592.3278,2026-02-08 15:00:00+00:00,ETH/USDT
1770566400000,2108.63,2116.08,2072.8,2080.97,21042.1406,2026-02-08 16:00:00+00:00,ETH/USDT
1770570000000,2080.96,2099.31,2080.1,2092.13,12984.1554,2026-02-08 17:00:00+00:00,ETH/USDT
1770573600000,2092.13,2122.13,2090.69,2109.47,16445.4041,2026-02-08 18:00:00+00:00,ETH/USDT
1770577200000,2109.47,2129.73,2107.66,2126.77,10365.0023,2026-02-08 19:00:00+00:00,ETH/USDT
1770580800000,2126.79,2127.25,2100.26,2104.59,10698.398,2026-02-08 20:00:00+00:00,ETH/USDT
1770584400000,2104.58,2115.1,2090.0,2093.9,13436.2609,2026-02-08 21:00:00+00:00,ETH/USDT
1770588000000,2093.91,2112.68,2093.83,2108.43,12301.0252,2026-02-08 22:00:00+00:00,ETH/USDT
1770591600000,2108.45,2152.03,2071.6,2089.74,62858.6379,2026-02-08 23:00:00+00:00,ETH/USDT
1770595200000,2089.73,2097.2,2076.33,2084.48,21165.0792,2026-02-09 00:00:00+00:00,ETH/USDT
1770598800000,2084.47,2101.24,2055.01,2070.89,34537.9552,2026-02-09 01:00:00+00:00,ETH/USDT
1770602400000,2070.89,2095.52,2065.71,2081.29,17975.8014,2026-02-09 02:00:00+00:00,ETH/USDT
1770606000000,2081.29,2103.02,2081.29,2100.25,16548.2866,2026-02-09 03:00:00+00:00,ETH/USDT
1770609600000,2100.25,2102.03,2086.66,2090.35,11919.6419,2026-02-09 04:00:00+00:00,ETH/USDT
1770613200000,2090.35,2097.01,2083.75,2095.82,11072.9925,2026-02-09 05:00:00+00:00,ETH/USDT
1770616800000,2095.81,2095.82,2072.43,2081.43,23279.3733,2026-02-09 06:00:00+00:00,ETH/USDT
1770620400000,2081.43,2087.7,2064.67,2065.74,17690.1536,2026-02-09 07:00:00+00:00,ETH/USDT
1770624000000,2065.74,2070.21,2034.56,2050.07,35682.2822,2026-02-09 08:00:00+00:00,ETH/USDT
1770627600000,2050.02,2057.43,2034.61,2042.27,22439.9144,2026-02-09 09:00:00+00:00,ETH/USDT
1770631200000,2042.27,2047.32,2013.25,2022.7,32691.4324,2026-02-09 10:00:00+00:00,ETH/USDT
1770634800000,2022.7,2036.83,2020.89,2028.23,19415.2339,2026-02-09 11:00:00+00:00,ETH/USDT
1770638400000,2028.26,2039.4,2027.53,2035.65,12709.905,2026-02-09 12:00:00+00:00,ETH/USDT
1770642000000,2035.65,2050.17,2022.3,2022.52,21963.7855,2026-02-09 13:00:00+00:00,ETH/USDT
1770645600000,2022.52,2049.99,2008.62,2043.7,49955.3766,2026-02-09 14:00:00+00:00,ETH/USDT
1770649200000,2043.71,2073.47,2032.1,2061.61,38564.1572,2026-02-09 15:00:00+00:00,ETH/USDT
1770652800000,2061.61,2109.57,2047.78,2091.21,35694.0146,2026-02-09 16:00:00+00:00,ETH/USDT
1770656400000,2091.22,2136.9,2078.0,2127.33,46013.3434,2026-02-09 17:00:00+00:00,ETH/USDT
1770660000000,2127.33,2143.0,2109.53,2130.67,39034.997,2026-02-09 18:00:00+00:00,ETH/USDT
1770663600000,2130.67,2138.35,2119.25,2131.34,21945.8985,2026-02-09 19:00:00+00:00,ETH/USDT
1770667200000,2131.34,2147.73,2118.34,2124.86,28564.2455,2026-02-09 20:00:00+00:00,ETH/USDT
1770670800000,2124.87,2129.78,2089.0,2122.24,33056.3029,2026-02-09 21:00:00+00:00,ETH/USDT
1770674400000,2122.24,2125.9,2111.4,2115.22,20709.8515,2026-02-09 22:00:00+00:00,ETH/USDT
1770678000000,2115.22,2122.47,2101.67,2105.02,12748.5326,2026-02-09 23:00:00+00:00,ETH/USDT
1770681600000,2105.02,2112.92,2096.49,2096.72,9634.8762,2026-02-10 00:00:00+00:00,ETH/USDT
1770685200000,2096.72,2124.71,2096.4,2117.35,10400.3261,2026-02-10 01:00:00+00:00,ETH/USDT
1770688800000,2117.35,2121.71,2102.73,2108.18,8793.3049,2026-02-10 02:00:00+00:00,ETH/USDT
1770692400000,2108.18,2110.7,2052.14,2064.96,34934.118,2026-02-10 03:00:00+00:00,ETH/USDT
1770696000000,2064.96,2074.35,2062.91,2070.44,11716.025,2026-02-10 04:00:00+00:00,ETH/USDT
1770699600000,2070.44,2072.0,2045.57,2053.07,19759.3306,2026-02-10 05:00:00+00:00,ETH/USDT
1770703200000,2053.07,2057.71,1997.59,2008.79,122549.3209,2026-02-10 06:00:00+00:00,ETH/USDT
1770706800000,2008.79,2019.84,1999.99,2007.47,41588.8804,2026-02-10 07:00:00+00:00,ETH/USDT
1770710400000,2007.47,2017.47,1995.83,2014.88,54492.8274,2026-02-10 08:00:00+00:00,ETH/USDT
1770714000000,2014.87,2029.98,2009.87,2016.8,30100.6221,2026-02-10 09:00:00+00:00,ETH/USDT
1770717600000,2016.8,2022.02,2009.54,2014.01,14015.9975,2026-02-10 10:00:00+00:00,ETH/USDT
1770721200000,2014.0,2022.82,2001.05,2003.21,15977.348,2026-02-10 11:00:00+00:00,ETH/USDT
1770724800000,2003.2,2017.52,2002.6,2008.16,12071.21,2026-02-10 12:00:00+00:00,ETH/USDT
1770728400000,2008.15,2027.68,1999.0,2022.49,22866.5166,2026-02-10 13:00:00+00:00,ETH/USDT
1770732000000,2022.49,2040.01,1989.38,2009.8,39644.3129,2026-02-10 14:00:00+00:00,ETH/USDT
1770735600000,2009.79,2029.99,2004.02,2022.66,32239.0635,2026-02-10 15:00:00+00:00,ETH/USDT
1770739200000,2022.67,2037.75,2012.22,2026.09,18282.0513,2026-02-10 16:00:00+00:00,ETH/USDT
1770742800000,2026.08,2046.94,2020.0,2040.2,14256.8127,2026-02-10 17:00:00+00:00,ETH/USDT
1770746400000,2040.2,2042.65,1996.18,2009.44,20737.0545,2026-02-10 18:00:00+00:00,ETH/USDT
1770750000000,2009.44,2025.72,2003.74,2017.95,10033.8951,2026-02-10 19:00:00+00:00,ETH/USDT
1770753600000,2017.95,2021.52,2004.75,2011.55,6872.1653,2026-02-10 20:00:00+00:00,ETH/USDT
1770757200000,2011.56,2017.95,1997.0,2008.45,8420.299,2026-02-10 21:00:00+00:00,ETH/USDT
1770760800000,2008.46,2020.35,2007.11,2017.95,7117.0681,2026-02-10 22:00:00+00:00,ETH/USDT
1770764400000,2017.95,2022.85,2012.64,2022.67,7818.2647,2026-02-10 23:00:00+00:00,ETH/USDT
1770768000000,2022.67,2029.66,2019.29,2025.41,6888.5148,2026-02-11 00:00:00+00:00,ETH/USDT
1770771600000,2025.41,2031.02,2016.6,2024.45,7138.6739,2026-02-11 01:00:00+00:00,ETH/USDT
1770775200000,2024.45,2032.31,2014.39,2017.85,6254.7626,2026-02-11 02:00:00+00:00,ETH/USDT
1770778800000,2017.84,2021.38,1998.0,2009.59,12912.1584,2026-02-11 03:00:00+00:00,ETH/USDT
1770782400000,2009.59,2011.23,1963.29,1971.39,34552.9842,2026-02-11 04:00:00+00:00,ETH/USDT
1770786000000,1971.4,1981.4,1971.28,1974.45,9363.0101,2026-02-11 05:00:00+00:00,ETH/USDT
1770789600000,1974.45,1977.49,1939.21,1949.19,40991.6462,2026-02-11 06:00:00+00:00,ETH/USDT
1770793200000,1949.19,1958.57,1945.5,1950.89,15621.0381,2026-02-11 07:00:00+00:00,ETH/USDT
1770796800000,1950.9,1953.72,1937.11,1950.12,14519.1648,2026-02-11 08:00:00+00:00,ETH/USDT
1770800400000,1950.13,1954.32,1943.31,1947.0,9783.0834,2026-02-11 09:00:00+00:00,ETH/USDT
1770804000000,1947.0,1947.0,1932.02,1939.3,13999.7793,2026-02-11 10:00:00+00:00,ETH/USDT
1770807600000,1939.29,1956.52,1936.75,1953.66,11530.9247,2026-02-11 11:00:00+00:00,ETH/USDT
1770811200000,1953.65,1967.1,1949.08,1952.34,15263.0539,2026-02-11 12:00:00+00:00,ETH/USDT
1770814800000,1952.34,1968.93,1942.82,1960.6,33012.4368,2026-02-11 13:00:00+00:00,ETH/USDT
1770818400000,1960.6,2015.81,1937.23,1943.3,75602.5202,2026-02-11 14:00:00+00:00,ETH/USDT
1770822000000,1943.34,1950.49,1903.19,1929.46,66920.5784,2026-02-11 15:00:00+00:00,ETH/USDT
1770825600000,1929.46,1956.34,1910.02,1915.33,34074.7241,2026-02-11 16:00:00+00:00,ETH/USDT
1770829200000,1915.34,1942.48,1908.8,1929.88,24595.9198,2026-02-11 17:00:00+00:00,ETH/USDT
1770832800000,1929.95,1948.57,1915.71,1944.03,22146.2139,2026-02-11 18:00:00+00:00,ETH/USDT
1770836400000,1944.02,1959.8,1938.28,1952.28,22517.9407,2026-02-11 19:00:00+00:00,ETH/USDT
1770840000000,1952.27,1958.84,1940.49,1954.23,11739.0169,2026-02-11 20:00:00+00:00,ETH/USDT
1770843600000,1954.24,1988.07,1950.92,1970.45,17835.2932,2026-02-11 21:00:00+00:00,ETH/USDT
1770847200000,1970.46,1973.25,1948.35,1951.47,10030.0385,2026-02-11 22:00:00+00:00,ETH/USDT
1770850800000,1951.47,1956.95,1932.44,1941.18,12362.3408,2026-02-11 23:00:00+00:00,ETH/USDT
1770854400000,1941.19,1963.53,1941.19,1958.8,9494.7021,2026-02-12 00:00:00+00:00,ETH/USDT
1770858000000,1958.81,1977.75,1958.81,1965.94,11412.1095,2026-02-12 01:00:00+00:00,ETH/USDT
1770861600000,1965.93,1971.91,1955.39,1958.69,12120.1321,2026-02-12 02:00:00+00:00,ETH/USDT
1770865200000,1958.7,1969.11,1957.19,1968.69,9159.6666,2026-02-12 03:00:00+00:00,ETH/USDT
1770868800000,1968.7,1975.35,1960.29,1965.78,12225.7973,2026-02-12 04:00:00+00:00,ETH/USDT
1770872400000,1965.78,1971.95,1953.14,1970.69,11882.6553,2026-02-12 05:00:00+00:00,ETH/USDT
1770876000000,1970.69,1983.0,1965.51,1975.06,13953.5182,2026-02-12 06:00:00+00:00,ETH/USDT
1770879600000,1975.06,1977.92,1966.19,1968.07,14432.7233,2026-02-12 07:00:00+00:00,ETH/USDT
1770883200000,1968.07,1973.92,1957.25,1965.52,15136.9835,2026-02-12 08:00:00+00:00,ETH/USDT
1770886800000,1965.52,1989.67,1963.28,1982.43,14651.4079,2026-02-12 09:00:00+00:00,ETH/USDT
1770890400000,1982.43,1995.73,1977.57,1994.15,12025.198,2026-02-12 10:00:00+00:00,ETH/USDT
1770894000000,1994.16,2001.42,1983.71,1989.02,15103.4989,2026-02-12 11:00:00+00:00,ETH/USDT
1770897600000,1989.02,1990.75,1974.85,1980.85,12244.5334,2026-02-12 12:00:00+00:00,ETH/USDT
1770901200000,1980.85,1996.3,1975.5,1994.99,11624.9909,2026-02-12 13:00:00+00:00,ETH/USDT
1770904800000,1994.99,1996.05,1973.41,1978.5,23170.373,2026-02-12 14:00:00+00:00,ETH/USDT
1770908400000,1978.5,1984.81,1945.01,1948.47,33288.1881,2026-02-12 15:00:00+00:00,ETH/USDT
1770912000000,1948.48,1950.16,1897.24,1909.18,74532.6092,2026-02-12 16:00:00+00:00,ETH/USDT
1770915600000,1909.18,1927.52,1902.9,1910.42,30755.3961,2026-02-12 17:00:00+00:00,ETH/USDT
1770919200000,1910.42,1925.51,1901.82,1918.65,22178.8219,2026-02-12 18:00:00+00:00,ETH/USDT
1770922800000,1918.66,1941.09,1911.76,1925.44,22583.6239,2026-02-12 19:00:00+00:00,ETH/USDT
1770926400000,1925.45,1932.16,1909.66,1915.85,14922.6545,2026-02-12 20:00:00+00:00,ETH/USDT
1770930000000,1915.88,1927.88,1914.37,1923.51,6977.4619,2026-02-12 21:00:00+00:00,ETH/USDT
1770933600000,1923.52,1945.8,1920.46,1942.97,10377.9361,2026-02-12 22:00:00+00:00,ETH/USDT
1770937200000,1942.96,1952.61,1939.43,1947.85,13312.1652,2026-02-12 23:00:00+00:00,ETH/USDT
1770940800000,1947.85,1954.54,1927.63,1933.26,11537.0198,2026-02-13 00:00:00+00:00,ETH/USDT
1770944400000,1933.26,1950.02,1933.26,1943.63,7599.6539,2026-02-13 01:00:00+00:00,ETH/USDT
1770948000000,1943.64,1952.0,1940.88,1948.3,7231.8917,2026-02-13 02:00:00+00:00,ETH/USDT
1770951600000,1948.31,1958.21,1944.5,1953.55,10786.2303,2026-02-13 03:00:00+00:00,ETH/USDT
1770955200000,1953.56,1955.8,1943.8,1944.78,11010.5524,2026-02-13 04:00:00+00:00,ETH/USDT
1770958800000,1944.77,1946.85,1933.41,1934.19,8403.2097,2026-02-13 05:00:00+00:00,ETH/USDT
1770962400000,1934.19,1939.26,1924.72,1936.57,10656.8388,2026-02-13 06:00:00+00:00,ETH/USDT
1770966000000,1936.57,1948.6,1932.78,1935.75,13543.5401,2026-02-13 07:00:00+00:00,ETH/USDT
1770969600000,1935.75,1964.04,1933.65,1958.95,17601.7804,2026-02-13 08:00:00+00:00,ETH/USDT
1770973200000,1958.96,1966.73,1953.04,1962.0,20596.5888,2026-02-13 09:00:00+00:00,ETH/USDT
1770976800000,1962.0,1969.26,1956.7,1959.4,11783.4092,2026-02-13 10:00:00+00:00,ETH/USDT
1770980400000,1959.41,1962.05,1945.84,1960.04,12384.6416,2026-02-13 11:00:00+00:00,ETH/USDT
1770984000000,1960.05,1964.59,1952.6,1960.95,9051.4062,2026-02-13 12:00:00+00:00,ETH/USDT
1770987600000,1960.95,1981.11,1956.02,1970.59,26265.7027,2026-02-13 13:00:00+00:00,ETH/USDT
1770991200000,1970.58,2002.21,1963.14,1990.86,51023.0524,2026-02-13 14:00:00+00:00,ETH/USDT
1770994800000,1990.88,2050.58,1987.2,2034.93,68806.4179,2026-02-13 15:00:00+00:00,ETH/USDT
1770998400000,2034.92,2073.68,2031.42,2061.43,42726.9652,2026-02-13 16:00:00+00:00,ETH/USDT
1771002000000,2061.43,2068.35,2049.64,2059.39,24152.4133,2026-02-13 17:00:00+00:00,ETH/USDT
1771005600000,2059.4,2064.65,2050.64,2057.4,11647.9476,2026-02-13 18:00:00+00:00,ETH/USDT
1771009200000,2057.41,2061.67,2052.2,2057.75,11688.6471,2026-02-13 19:00:00+00:00,ETH/USDT
1771012800000,2057.74,2059.65,2038.69,2045.61,14978.3346,2026-02-13 20:00:00+00:00,ETH/USDT
1771016400000,2045.61,2058.46,2045.04,2054.02,9217.6034,2026-02-13 21:00:00+00:00,ETH/USDT
1771020000000,2054.03,2059.39,2045.07,2054.2,7343.465,2026-02-13 22:00:00+00:00,ETH/USDT
1771023600000,2054.2,2054.41,2046.57,2048.72,5612.4577,2026-02-13 23:00:00+00:00,ETH/USDT
1771027200000,2048.72,2056.06,2042.37,2055.2,6195.3393,2026-02-14 00:00:00+00:00,ETH/USDT
1771030800000,2055.2,2057.57,2050.29,2054.35,4889.2271,2026-02-14 01:00:00+00:00,ETH/USDT
1771034400000,2054.35,2054.46,2048.1,2050.22,5703.7006,2026-02-14 02:00:00+00:00,ETH/USDT
1771038000000,2050.22,2056.27,2048.48,2054.37,4210.9221,2026-02-14 03:00:00+00:00,ETH/USDT
1771041600000,2054.39,2058.0,2052.77,2053.57,5108.1042,2026-02-14 04:00:00+00:00,ETH/USDT
1771045200000,2053.56,2056.32,2050.86,2051.29,4685.4897,2026-02-14 05:00:00+00:00,ETH/USDT
1771048800000,2051.28,2054.62,2048.5,2053.68,3821.8778,2026-02-14 06:00:00+00:00,ETH/USDT
1771052400000,2053.68,2060.49,2050.69,2057.21,6753.7238,2026-02-14 07:00:00+00:00,ETH/USDT
1771056000000,2057.2,2091.32,2057.04,2082.35,26811.4703,2026-02-14 08:00:00+00:00,ETH/USDT
1771059600000,2082.35,2088.64,2075.91,2078.24,8333.0145,2026-02-14 09:00:00+00:00,ETH/USDT
1771063200000,2078.24,2078.25,2072.57,2077.42,4025.0517,2026-02-14 10:00:00+00:00,ETH/USDT
1771066800000,2077.43,2107.67,2077.1,2099.58,19687.4197,2026-02-14 11:00:00+00:00,ETH/USDT
1771070400000,2099.58,2100.39,2068.09,2070.97,20672.5468,2026-02-14 12:00:00+00:00,ETH/USDT
1771074000000,2070.97,2076.05,2064.58,2071.54,12885.3038,2026-02-14 13:00:00+00:00,ETH/USDT
1771077600000,2071.54,2088.81,2069.34,2085.09,10445.1153,2026-02-14 14:00:00+00:00,ETH/USDT
1771081200000,2085.1,2093.73,2080.55,2087.43,11176.67,2026-02-14 15:00:00+00:00,ETH/USDT
1771084800000,2087.42,2087.89,2067.27,2082.83,21781.519,2026-02-14 16:00:00+00:00,ETH/USDT
1771088400000,2082.84,2089.28,2077.49,2080.23,6872.6908,2026-02-14 17:00:00+00:00,ETH/USDT
1771092000000,2080.23,2086.61,2078.77,2085.39,4417.1196,2026-02-14 18:00:00+00:00,ETH/USDT
1771095600000,2085.39,2090.51,2078.56,2088.52,5699.5631,2026-02-14 19:00:00+00:00,ETH/USDT
1771099200000,2088.52,2092.95,2081.24,2089.82,5072.2237,2026-02-14 20:00:00+00:00,ETH/USDT
1771102800000,2089.83,2098.89,2078.63,2085.87,10624.3669,2026-02-14 21:00:00+00:00,ETH/USDT
1771106400000,2085.86,2094.68,2083.66,2090.47,5214.7206,2026-02-14 22:00:00+00:00,ETH/USDT
1771110000000,2090.46,2093.01,2083.7,2086.59,5590.0551,2026-02-14 23:00:00+00:00,ETH/USDT
1771113600000,2086.59,2090.5,2072.74,2080.11,8335.0483,2026-02-15 00:00:00+00:00,ETH/USDT
1771117200000,2080.11,2085.02,2053.81,2064.19,15258.9343,2026-02-15 01:00:00+00:00,ETH/USDT
1771120800000,2064.18,2072.41,2045.0,2059.58,49424.3031,2026-02-15 02:00:00+00:00,ETH/USDT
1771124400000,2059.59,2063.34,2030.9,2058.94,168472.1017,2026-02-15 03:00:00+00:00,ETH/USDT
1771128000000,2058.94,2087.13,2058.94,2076.31,23173.06,2026-02-15 04:00:00+00:00,ETH/USDT
1771131600000,2076.31,2096.11,2075.12,2088.68,13517.585,2026-02-15 05:00:00+00:00,ETH/USDT
1771135200000,2088.67,2094.71,2082.61,2085.85,9082.319,2026-02-15 06:00:00+00:00,ETH/USDT
1771138800000,2085.85,2103.32,2082.47,2091.41,34761.7286,2026-02-15 07:00:00+00:00,ETH/USDT
1771142400000,2091.41,2096.82,2055.92,2069.2,27316.0929,2026-02-15 08:00:00+00:00,ETH/USDT
1771146000000,2069.2,2078.86,2066.02,2068.7,9469.0133,2026-02-15 09:00:00+00:00,ETH/USDT
1771149600000,2068.7,2070.26,2054.36,2061.57,10415.5493,2026-02-15 10:00:00+00:00,ETH/USDT
1771153200000,2061.56,2067.01,2058.61,2061.96,4891.9191,2026-02-15 11:00:00+00:00,ETH/USDT
1771156800000,2061.96,2068.63,2011.0,2011.0,27452.0817,2026-02-15 12:00:00+00:00,ETH/USDT
1771160400000,2011.0,2028.34,1994.05,2002.46,48992.1893,2026-02-15 13:00:00+00:00,ETH/USDT
1771164000000,2002.45,2012.43,1993.3,2010.32,23471.8499,2026-02-15 14:00:00+00:00,ETH/USDT
1771167600000,2010.32,2015.07,2002.5,2011.29,15790.3985,2026-02-15 15:00:00+00:00,ETH/USDT
1771171200000,2011.29,2011.3,1993.35,2006.27,52142.1239,2026-02-15 16:00:00+00:00,ETH/USDT
1771174800000,2006.27,2009.05,1957.9,1971.3,39397.2103,2026-02-15 17:00:00+00:00,ETH/USDT
1771178400000,1971.3,1981.36,1952.62,1959.24,86430.6925,2026-02-15 18:00:00+00:00,ETH/USDT
1771182000000,1959.24,1961.96,1928.88,1942.23,111713.6846,2026-02-15 19:00:00+00:00,ETH/USDT
1771185600000,1942.22,1958.54,1933.77,1950.11,16989.637,2026-02-15 20:00:00+00:00,ETH/USDT
1771189200000,1950.11,1965.77,1950.0,1958.55,9995.153,2026-02-15 21:00:00+00:00,ETH/USDT
1771192800000,1958.55,1974.51,1956.58,1970.27,9431.4963,2026-02-15 22:00:00+00:00,ETH/USDT
1771196400000,1970.27,1970.89,1944.36,1966.58,18853.9236,2026-02-15 23:00:00+00:00,ETH/USDT
1771200000000,1966.59,1979.3,1963.35,1969.11,17601.4525,2026-02-16 00:00:00+00:00,ETH/USDT
1771203600000,1969.11,1981.2,1957.0,1963.06,11795.9275,2026-02-16 01:00:00+00:00,ETH/USDT
1771207200000,1963.06,1966.79,1952.3,1957.0,8676.6599,2026-02-16 02:00:00+00:00,ETH/USDT
1771210800000,1957.01,1959.81,1948.76,1958.78,9328.3216,2026-02-16 03:00:00+00:00,ETH/USDT
1771214400000,1958.78,1973.19,1958.34,1973.06,9289.7666,2026-02-16 04:00:00+00:00,ETH/USDT
